date,stock_id,VALUE_CON_PB,VALUE_CON_PB_ORDER,VALUE_CON_PB_ROLLING,VALUE_CON_PB_ROLLING_ORDER,VALUE_CON_PE,VALUE_CON_PE_ORDER,VALUE_CON_PE_ROLLING,VALUE_CON_PE_ROLLING_ORDER,VALUE_CON_PEG,VALUE_CON_PEG_ORDER,VALUE_CON_PEG_ROLLING,VALUE_CON_PEG_ROLLING_ORDER,VALUE_CON_PS,VALUE_CON_PS_ORDER,VALUE_CON_PS_ROLLING,VALUE_CON_PS_ROLLING_ORDER,PROFIT_CON_EPS,PROFIT_CON_EPS_ROLLING,PROFIT_CON_NP,PROFIT_CON_NP_ROLLING,PROFIT_CON_OR,PROFIT_CON_OR_ROLLING,PROFIT_CON_ROE,PROFIT_CON_TYPE,GROWTH_CON_NA_YOY,GROWTH_CON_NP_YOY,GROWTH_CON_NPCGRATE_13W,GROWTH_CON_NPCGRATE_1W,GROWTH_CON_NPCGRATE_26W,GROWTH_CON_NPCGRATE_2Y,GROWTH_CON_NPCGRATE_4W,GROWTH_CON_NPCGRATE_52W,GROWTH_CON_OR_YOY,GROWTH_CON_ROE_YOY1,GROWTH_CON_ROE_YOY2,GROWTH_CON_ROE_YOY3,SCALE_CON_NA,SCALE_CON_NA_ROLLING,SCALE_MCAP,SCALE_NA,SCALE_TA,SCALE_TCAP,EMOTION_CON_TARGET_PRICE,EMOTION_MARKET_CONFIDENCE_10D,EMOTION_MARKET_CONFIDENCE_15D,EMOTION_MARKET_CONFIDENCE_25D,EMOTION_MARKET_CONFIDENCE_5D,EMOTION_MARKET_CONFIDENCE_75D,EMOTION_OPTIMISM_CONFIDENCE_10D,EMOTION_OPTIMISM_CONFIDENCE_15D,EMOTION_OPTIMISM_CONFIDENCE_25D,EMOTION_OPTIMISM_CONFIDENCE_5D,EMOTION_OPTIMISM_CONFIDENCE_75D,EMOTION_PESSIMISM_CONFIDENCE_10D,EMOTION_PESSIMISM_CONFIDENCE_15D,EMOTION_PESSIMISM_CONFIDENCE_25D,EMOTION_PESSIMISM_CONFIDENCE_5D,EMOTION_PESSIMISM_CONFIDENCE_75D,EMOTION_TARGET_PRICE_TYPE,SCORE_SCORE,SCORE_SCORE_ROC_13WEEK,SCORE_SCORE_ROC_1WEEK,SCORE_SCORE_ROC_26WEEK,SCORE_SCORE_ROC_4WEEK,SCORE_SCORE_ROC_52WEEK,SCORE_SUMVALUE_GZ,SCORE_SUMVALUE_SC,SCORE_SUMVALUE_YJ
2018-02-07,SH600000,0.9177,0.36,0.7995,0.32,7.2238,0.12,6.8357,0.16,1.8292,0.72,1.6529,0.76,2.3097,0.12,2.1304,0.12,1.8619,1.9676,5464009.2431,5775588.9629,17089000.0,18531702.544,0.127,1.0,-0.14452,0.029,-2.5572,0.2287,-1.7826,3.9491,-0.2785,-6.4342,6.28,-0.0173,-0.0093,-0.0064,43010609.2431,49383533.6818,37799562.444,430985000000.0,6137240000000.0,39478548.134,15.69,-0.1271,-0.0491,-0.2989,0.0312,-0.4007,-0.223,-0.223,-0.2974,-0.223,-0.4037,0.0,0.0,0.0,0.0,-0.5755,4.0,58.35,-0.1901,0.0,0.0228,0.0,0.0228,2.7,17.0,38.65
2018-02-07,SH600004,2.1487,0.6667,1.9169,0.6667,20.9324,0.3333,19.5977,0.3333,2.7017,1.0,2.5216,1.0,4.7256,0.3333,3.6444,0.0,0.74,0.7904,153129.7181,163555.1249,678300.0,879536.4384,0.1027,2.0,-0.278247,0.0986,-1.6854,-0.2995,3.8084,7.7479,-1.0344,-1.99,9.99,-0.0268,-0.0048,-0.0005,1491751.5696,1672153.7981,3205377.476,15099787202.04,22519539139.17,3205377.476,16.1999,-0.0587,-0.0587,-0.1104,-0.0142,-0.073,-0.0646,-0.0646,-0.8373,0.0,-0.8373,0.0,-0.1291,0.0,0.0,0.1291,4.0,72.55,-0.0811,-0.032,0.1136,-0.032,0.6892,2.7,19.0,50.85
2018-02-07,SH600006,1.4956,0.2857,1.3035,0.2857,23.8571,0.65,12.6771,0.35,0.2669,0.3,0.1551,0.0909,0.5123,0.3333,0.3351,0.2381,0.21,0.3952,43000.0,79551.5068,2002300.0,3009085.7534,0.0627,2.0,-0.051368,0.9648,0.0,0.0,-15.6863,89.39,0.0,-30.2451,25.0,0.0291,0.04,0.0012,685915.6556,773639.7652,1002000.0,7024180819.69,17787911888.58,1002000.0,8.0,0.0,0.0,0.0,0.0,-1.1976,0.0,0.0,0.1996,0.0,-0.998,0.0,0.0,0.1996,0.0,0.1996,2.0,52.45,-0.1601,0.0,-0.0224,-0.087,0.2269,10.8,15.0,26.65
2018-02-07,SH600007,2.3632,0.6639,2.0816,0.6891,21.1918,0.6518,18.0893,0.6579,1.7742,0.9348,1.5205,0.9053,5.8803,0.8571,5.334,0.8571,0.73,0.8552,73207.0,86532.7753,263828.0,293460.3699,0.1115,2.0,-0.065483,0.0666,9.4893,0.8759,-6.6237,11.9443,4.7108,15.7411,12.3,-0.0004,0.0043,-0.0066,656479.0968,751966.2338,1558266.08,6469671997.0,11666019297.0,1558266.08,29.9999,0.2262,0.2262,0.2262,0.0433,0.3665,0.0,0.0,0.0,0.0,0.0,0.6464,0.6464,0.6464,0.0,0.6464,2.0,40.05,0.0723,0.0,0.0178,-0.0543,0.0416,10.8,3.0,26.25
2018-02-07,SH600008,2.0142,0.4706,1.8996,0.4706,35.6923,0.7647,28.6243,0.5882,2.8866,0.75,2.039,0.75,2.2891,0.1176,1.8715,0.1765,0.13,0.1621,62667.984,79658.666,977130.0,1216182.6575,0.0564,2.0,-0.123094,0.0258,-7.1429,0.0,-19.4146,12.3647,-7.1429,-10.602,23.5,-0.0063,0.0085,0.0138,1110496.1663,1198184.7868,2236764.954,17134162732.48,50994308397.69,2236764.954,6.15,0.0,0.0,-0.2155,0.0,-0.2155,0.0,0.0,-0.1724,0.0,-0.3879,0.097,0.097,0.097,0.0,-0.2155,4.0,38.8,0.0184,0.0,-0.1797,-0.1142,-0.1629,8.1,3.0,27.7
2018-02-07,SH600009,3.6846,1.0,3.1239,1.0,26.1783,1.0,22.7342,1.0,1.3539,0.3333,1.2293,0.3333,11.5583,1.0,10.0997,1.0,1.8225,2.0986,351346.8283,404278.2795,795766.6667,910009.3698,0.1408,1.0,-0.106785,0.2523,0.574,0.2094,10.4467,19.3361,-0.4636,8.9779,14.47,0.015,-0.0028,-0.0048,2496226.9973,2942102.8241,5216975.89,25480772969.67,27547399506.95,9193518.755,52.55,0.0034,0.0046,0.0031,0.0082,0.2075,0.0,0.0,0.0,0.0,0.1677,0.0,0.1258,0.2934,0.0,0.3144,1.0,76.9,-0.0541,-0.0253,0.0831,-0.0768,0.3089,5.4,15.0,56.5
2018-02-07,SH600010,2.2214,0.6563,2.0149,0.7188,34.7143,0.75,27.3957,0.7813,0.0597,0.2593,0.1286,0.5556,0.7533,0.5938,0.4906,0.375,0.07,0.0887,323200.0,404272.0548,14893500.0,22572880.8219,0.064,2.0,-0.064788,37.0085,120.4638,0.0,396.3033,581.6446,0.0,396.3033,380.0,0.0622,0.0086,0.0089,5050650.679,5496056.4324,5355436.619,49537119948.97,146642464834.31,11077162.933,2.94,0.0,0.0,0.0,0.0,1.5556,0.0,0.0,0.0,0.0,0.5761,0.0412,0.0412,0.0412,0.0,0.7325,2.0,46.3,-0.0904,0.0,0.0198,-0.0975,0.201,10.8,3.0,32.5
2018-02-07,SH600011,1.194,0.381,1.0914,0.3651,19.5757,0.2586,13.1932,0.2542,,,,,0.6421,0.0952,0.6259,0.1111,0.3111,0.4616,475565.1274,709704.6561,14498900.0,14960472.5114,0.061,1.0,0.04554,-0.4605,30.4464,0.0,21.3299,-11.3589,26.8439,-38.5337,27.39,-0.0471,0.0206,0.0101,7797074.0559,8578880.928,6394500.0,93145904628.0,382351081599.0,9257033.515,7.75,0.8604,0.9688,1.1281,0.0,1.5205,-0.6568,-0.6568,-0.6568,-0.6568,-0.1642,0.1642,0.3284,0.3284,0.0,1.642,2.0,50.3,-0.1372,-0.0904,0.0141,-0.0382,0.2466,5.4,13.0,31.9
2018-02-07,SH600012,1.898,0.8889,1.6791,0.8333,16.7344,0.7222,15.3835,0.7778,1.5033,0.7143,1.4295,0.7143,6.3749,0.7778,5.7804,0.7778,0.64,0.6962,106151.04,116130.3562,278650.0,309072.7671,0.1134,2.0,-0.072661,0.1374,-0.5704,0.0,0.4267,11.1319,0.0,0.4267,11.5,0.0059,-0.0037,-0.0045,935899.272,1064029.2994,1248357.6,10030040435.97,14176003506.16,1776371.31,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.35,-0.247,-0.3128,-0.2913,0.0,-0.2227,8.1,3.0,26.25
2018-02-07,SH600015,0.7585,0.0,0.6673,0.0,6.3694,0.0,6.1256,0.0,2.1427,0.84,2.0434,0.92,1.9185,0.0,1.7649,0.0,1.57,1.6325,2012208.1814,2092357.655,6680580.0,7262416.2192,0.1191,1.0,-0.099391,0.0226,-2.2387,-1.9491,-1.9656,2.9726,-2.327,-8.7055,4.34,-0.0102,-0.0092,-0.0084,16897908.1814,19207482.4,12822686.653,169498000000.0,2508927000000.0,12822686.653,11.222,-0.156,-0.061,-0.249,-0.311,-0.04,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,1.0,52.65,0.1119,0.0,0.0778,0.0457,-0.161,5.4,15.0,32.25
