date,stock_id,VALUE_CON_PB,VALUE_CON_PB_ORDER,VALUE_CON_PB_ROLLING,VALUE_CON_PB_ROLLING_ORDER,VALUE_CON_PE,VALUE_CON_PE_ORDER,VALUE_CON_PE_ROLLING,VALUE_CON_PE_ROLLING_ORDER,VALUE_CON_PEG,VALUE_CON_PEG_ORDER,VALUE_CON_PEG_ROLLING,VALUE_CON_PEG_ROLLING_ORDER,VALUE_CON_PS,VALUE_CON_PS_ORDER,VALUE_CON_PS_ROLLING,VALUE_CON_PS_ROLLING_ORDER,PROFIT_CON_EPS,PROFIT_CON_EPS_ROLLING,PROFIT_CON_NP,PROFIT_CON_NP_ROLLING,PROFIT_CON_OR,PROFIT_CON_OR_ROLLING,PROFIT_CON_ROE,PROFIT_CON_TYPE,GROWTH_CON_NA_YOY,GROWTH_CON_NP_YOY,GROWTH_CON_NPCGRATE_13W,GROWTH_CON_NPCGRATE_1W,GROWTH_CON_NPCGRATE_26W,GROWTH_CON_NPCGRATE_2Y,GROWTH_CON_NPCGRATE_4W,GROWTH_CON_NPCGRATE_52W,GROWTH_CON_OR_YOY,GROWTH_CON_ROE_YOY1,GROWTH_CON_ROE_YOY2,GROWTH_CON_ROE_YOY3,SCALE_CON_NA,SCALE_CON_NA_ROLLING,SCALE_MCAP,SCALE_NA,SCALE_TA,SCALE_TCAP,EMOTION_CON_TARGET_PRICE,EMOTION_MARKET_CONFIDENCE_10D,EMOTION_MARKET_CONFIDENCE_15D,EMOTION_MARKET_CONFIDENCE_25D,EMOTION_MARKET_CONFIDENCE_5D,EMOTION_MARKET_CONFIDENCE_75D,EMOTION_OPTIMISM_CONFIDENCE_10D,EMOTION_OPTIMISM_CONFIDENCE_15D,EMOTION_OPTIMISM_CONFIDENCE_25D,EMOTION_OPTIMISM_CONFIDENCE_5D,EMOTION_OPTIMISM_CONFIDENCE_75D,EMOTION_PESSIMISM_CONFIDENCE_10D,EMOTION_PESSIMISM_CONFIDENCE_15D,EMOTION_PESSIMISM_CONFIDENCE_25D,EMOTION_PESSIMISM_CONFIDENCE_5D,EMOTION_PESSIMISM_CONFIDENCE_75D,EMOTION_TARGET_PRICE_TYPE,SCORE_SCORE,SCORE_SCORE_ROC_13WEEK,SCORE_SCORE_ROC_1WEEK,SCORE_SCORE_ROC_26WEEK,SCORE_SCORE_ROC_4WEEK,SCORE_SCORE_ROC_52WEEK,SCORE_SUMVALUE_GZ,SCORE_SUMVALUE_SC,SCORE_SUMVALUE_YJ
2017-07-21,SH600000,0.8966,0.4583,0.8322,0.4583,6.7561,0.25,6.5568,0.2083,1.2435,0.3913,1.2355,0.3478,2.1396,0.2083,2.0175,0.2083,1.9908,2.0513,5594267.0523,5764881.4604,17664422.2222,18735969.1933,0.1327,1.0,-0.12714,0.0536,-0.8876,-0.0528,-5.3965,5.4331,-0.2123,-2.0999,9.86,-0.0116,-0.0099,-0.0039,42154167.0523,45420786.788,37799562.444,392174000000.0,5915395000000.0,37799562.444,18.8012,0.0572,-0.0327,0.0892,-0.0082,-4.9197,0.0,0.0,2.4996,0.0,-3.6431,0.0,0.0,0.0,0.0,-4.5353,2.0,52.35,0.1672,0.0,-0.0824,0.0673,-0.2239,2.7,15.0,34.65
2017-07-21,SH600004,2.3593,0.6667,2.2124,0.6667,19.9744,0.3333,19.5546,0.3333,4.7701,1.0,3.4525,1.0,4.3266,0.0,3.6546,0.0,0.7034,0.7185,145258.2278,148603.4636,670605.8889,795167.9437,0.1181,1.0,-0.124498,0.0421,3.601,-1.0338,-1.6396,4.1874,-2.2784,-0.3357,8.75,-0.0114,-0.0085,0.0117,1229780.7127,1313515.4335,2907395.322,14291459227.26,19373755561.69,2907395.322,15.5842,-2.3032,-2.1957,-2.4085,-0.0491,-3.3722,-2.5217,-2.5217,-2.5217,0.0,-4.5025,-1.7359,-1.7359,-1.7359,0.0,-2.7609,1.0,65.15,0.2965,0.0,0.3587,0.2031,0.3043,2.7,17.0,45.45
2017-07-21,SH600006,1.7343,0.3333,1.6374,0.3333,23.8431,0.6667,18.9172,0.619,0.2801,0.3125,0.3575,0.375,0.723,0.5238,0.7035,0.5238,0.255,0.3214,51000.0,64282.1918,1681900.0,1728443.0137,0.0727,2.0,-0.071967,1.3303,30.102,44.0678,-17.434,85.1198,16.3321,-24.4071,5.0,0.0391,0.0239,0.0081,701140.2691,742647.1184,1216000.0,7335562684.75,21810705946.54,1216000.0,6.3653,1.2615,0.5757,0.5757,1.2615,-0.9046,-0.9046,-0.9046,-0.9046,0.0,-0.9046,1.3158,1.3158,1.3158,1.3158,-1.4803,2.0,58.65,0.2876,0.0483,0.5536,0.3345,0.2599,10.8,15.0,32.85
2017-07-21,SH600007,2.8534,0.7119,2.6676,0.7119,25.0828,0.5739,23.1266,0.6,1.6355,0.8557,1.6592,0.8876,6.7026,0.8403,6.3351,0.8403,0.785,0.8514,78750.0,85695.4795,294700.0,312769.3151,0.1138,2.0,-0.113761,0.1474,15.9851,0.0,15.3701,15.3362,13.7781,1.5534,25.44,0.0019,0.0027,-0.0088,692240.5728,742768.244,1983339.309,6129291642.0,11454989377.0,1983339.309,21.8798,0.0,0.0,0.5658,0.0,0.5536,0.0,0.0,0.0,0.0,-0.1524,0.0,0.0,1.2697,0.0,1.2697,2.0,49.35,0.2022,0.0,0.2835,0.0579,-0.1699,8.1,3.0,38.25
2017-07-21,SH600008,2.6353,0.6667,2.6367,0.6667,36.0099,0.6,34.7852,0.6667,1.696,0.6667,1.6646,0.5714,3.007,0.0667,2.8781,0.0667,0.1619,0.1676,77765.9652,84417.0216,931265.0,1019010.4795,0.0732,2.0,-0.083594,0.273,-3.7867,-3.2936,10.9358,21.2323,-2.756,18.1854,17.7,0.0105,0.0047,0.0032,1062630.593,1112319.252,2810418.034,15242076343.69,47090843992.79,2810418.034,6.645,-0.0823,-0.024,0.0549,-0.0617,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0755,0.0,0.0755,2.0,59.3,0.0801,0.0,0.2202,0.0,0.1404,5.4,15.0,38.9
2017-07-21,SH600009,2.8447,1.0,2.6147,1.0,22.6739,0.6667,19.6873,0.6667,1.1016,0.3333,1.1441,0.3333,9.3822,1.0,8.4091,1.0,1.6605,1.9124,319866.7145,368610.404,773017.6667,862935.1534,0.1255,1.0,-0.125461,0.1401,1.1332,0.0149,-0.6423,20.5822,0.5213,-1.4096,11.2,-0.0003,0.0124,-0.0027,2549533.0552,2775298.8716,4116938.635,23553437756.66,28985821841.45,7254998.557,43.333,0.021,0.0212,0.0598,0.0003,0.0858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.0,0.0531,1.0,72.3,0.0711,0.0,0.1852,0.0,0.3958,5.4,19.0,47.9
2017-07-21,SH600010,2.3875,0.7419,2.3347,0.7419,175.5245,0.9688,83.3887,0.875,0.4627,0.6154,,,3.5419,0.9375,3.4438,0.9375,0.0143,0.0301,65121.4752,137201.1354,3227240.0,3319130.6301,0.0136,4.0,-0.013418,6.6583,0.0,0.0,-54.5455,379.3218,0.0,-55.052,4.01,0.0118,0.0256,-0.0015,4787673.232,4895792.7223,5531747.289,48065305607.74,142313322117.23,11441843.195,3.15,0.0,0.0,0.0,0.0,-0.2271,,,,,0.0,,,,,0.0,4.0,45.4,0.1701,0.0,0.0437,-0.0152,0.1322,2.7,3.0,39.7
2017-07-21,SH600011,1.4351,0.3443,1.3509,0.3443,19.9293,0.3448,15.4413,0.3103,,,,,0.8089,0.0656,0.7909,0.0492,0.3678,0.4747,567967.8411,731663.7878,13994192.8571,14287646.2818,0.072,1.0,0.033585,-0.3556,-2.227,0.0,-20.2866,-1.0077,-4.2108,-41.6055,22.96,-0.0361,0.0267,-0.009,7887257.8504,8365281.2051,7696500.0,88377218687.0,380442148929.0,11141881.062,7.0258,0.0068,-0.0382,-0.0587,0.0,-0.1855,0.0,0.0,0.0,0.0,0.6821,0.0,0.0,1.719,0.0,1.719,1.0,58.9,0.0748,-0.0782,0.3826,0.048,0.5379,5.4,17.0,36.5
2017-07-21,SH600012,2.1503,0.8889,2.0508,0.9444,19.8063,0.7222,21.0876,0.7222,22.1795,0.9375,6.4186,0.9333,6.0193,0.5556,7.2577,0.7222,0.6402,0.6013,105700.0,99778.3562,347800.0,289967.1233,0.1086,4.0,-0.108567,0.1326,0.0,0.0,0.0,0.893,0.0,8.0137,39.17,0.0011,-0.0197,-0.0073,973596.262,1026171.6045,1477980.8,9466397684.38,13605037709.47,2103117.48,6.3,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,4.0,38.4,-0.2713,-0.0565,-0.3056,-0.0565,-0.1597,8.1,3.0,27.3
2017-07-21,SH600015,0.7589,0.125,0.709,0.125,6.3309,0.0833,6.151,0.125,1.3062,0.4783,1.327,0.4783,1.8861,0.0833,1.8043,0.0833,1.6001,1.6469,2056610.5953,2115524.191,6903200.0,7211854.1553,0.1199,1.0,-0.112946,0.0452,-13.3051,0.0,-4.4434,4.8468,-0.8474,-4.4073,7.82,-0.0094,-0.0079,-0.0071,17156110.5953,18353203.2054,12989381.579,159613000000.0,2423098000000.0,12989381.579,13.3334,-0.1885,-0.1639,-3.3554,0.0,-5.4778,0.0,-0.6584,-4.0642,0.0,-5.5449,0.0,0.0,-2.616,0.0,-5.4788,2.0,46.85,0.0469,0.0,-0.2764,-0.0147,-0.1152,5.4,15.0,26.45
