date,stock_id,VALUE_CON_PB,VALUE_CON_PB_ORDER,VALUE_CON_PB_ROLLING,VALUE_CON_PB_ROLLING_ORDER,VALUE_CON_PE,VALUE_CON_PE_ORDER,VALUE_CON_PE_ROLLING,VALUE_CON_PE_ROLLING_ORDER,VALUE_CON_PEG,VALUE_CON_PEG_ORDER,VALUE_CON_PEG_ROLLING,VALUE_CON_PEG_ROLLING_ORDER,VALUE_CON_PS,VALUE_CON_PS_ORDER,VALUE_CON_PS_ROLLING,VALUE_CON_PS_ROLLING_ORDER,PROFIT_CON_EPS,PROFIT_CON_EPS_ROLLING,PROFIT_CON_NP,PROFIT_CON_NP_ROLLING,PROFIT_CON_OR,PROFIT_CON_OR_ROLLING,PROFIT_CON_ROE,PROFIT_CON_TYPE,GROWTH_CON_NA_YOY,GROWTH_CON_NP_YOY,GROWTH_CON_NPCGRATE_13W,GROWTH_CON_NPCGRATE_1W,GROWTH_CON_NPCGRATE_26W,GROWTH_CON_NPCGRATE_2Y,GROWTH_CON_NPCGRATE_4W,GROWTH_CON_NPCGRATE_52W,GROWTH_CON_OR_YOY,GROWTH_CON_ROE_YOY1,GROWTH_CON_ROE_YOY2,GROWTH_CON_ROE_YOY3,SCALE_CON_NA,SCALE_CON_NA_ROLLING,SCALE_MCAP,SCALE_NA,SCALE_TA,SCALE_TCAP,EMOTION_CON_TARGET_PRICE,EMOTION_MARKET_CONFIDENCE_10D,EMOTION_MARKET_CONFIDENCE_15D,EMOTION_MARKET_CONFIDENCE_25D,EMOTION_MARKET_CONFIDENCE_5D,EMOTION_MARKET_CONFIDENCE_75D,EMOTION_OPTIMISM_CONFIDENCE_10D,EMOTION_OPTIMISM_CONFIDENCE_15D,EMOTION_OPTIMISM_CONFIDENCE_25D,EMOTION_OPTIMISM_CONFIDENCE_5D,EMOTION_OPTIMISM_CONFIDENCE_75D,EMOTION_PESSIMISM_CONFIDENCE_10D,EMOTION_PESSIMISM_CONFIDENCE_15D,EMOTION_PESSIMISM_CONFIDENCE_25D,EMOTION_PESSIMISM_CONFIDENCE_5D,EMOTION_PESSIMISM_CONFIDENCE_75D,EMOTION_TARGET_PRICE_TYPE,SCORE_SCORE,SCORE_SCORE_ROC_13WEEK,SCORE_SCORE_ROC_1WEEK,SCORE_SCORE_ROC_26WEEK,SCORE_SCORE_ROC_4WEEK,SCORE_SCORE_ROC_52WEEK,SCORE_SUMVALUE_GZ,SCORE_SUMVALUE_SC,SCORE_SUMVALUE_YJ
2018-06-27,SH600000,0.5848,0.08,0.5508,0.08,4.8754,0.08,4.7431,0.12,1.0046,0.88,1.1983,0.88,1.5269,0.08,1.4531,0.08,1.9219,1.9755,5642030.6269,5799653.2162,18014466.6667,18929744.2923,0.12,1.0,-0.09553,0.0399,-1.3397,-0.3205,-5.0621,4.8533,0.8318,-5.3639,6.84,-0.0075,-0.0074,-0.0027,47033530.6269,49942609.2479,26333226.773,434813000000.0,6132993000000.0,27502899.332,15.69,0.1206,0.1206,0.1206,-0.0662,-0.3447,-0.5336,-0.5336,-0.5336,0.0,-0.9178,0.0,0.0,0.0,0.0,0.1067,4.0,32.55,-0.2259,0.0,-0.4193,0.0905,-0.3364,8.1,3.0,21.45
2018-06-27,SH600004,1.6899,0.6667,1.6106,0.6667,16.8691,0.3333,16.968,0.3333,10.5809,1.0,3.1185,1.0,3.3736,0.3333,3.2572,0.0,0.8068,0.8021,167063.4138,165914.3948,835384.1481,864349.0017,0.1002,1.0,-0.100194,0.0469,-0.1712,0.2189,0.7215,1.5943,-1.7018,24.5633,23.55,-0.0061,-0.0103,0.0048,1667715.4573,1748038.4593,2816345.22,15549228655.2,23475149446.02,2816345.22,16.2571,-0.0353,-0.1073,-0.1301,0.0125,0.1969,0.0,0.0,0.0,0.0,0.8817,0.0,0.0,0.0,0.0,0.0735,1.0,60.05,-0.2267,0.0471,-0.1988,-0.1123,0.0152,5.4,22.0,32.65
2018-06-27,SH600006,1.1042,0.2857,1.0583,0.3333,15.7937,0.45,14.0785,0.45,0.205,0.125,0.2199,0.1111,0.5799,0.5238,0.5657,0.5714,0.252,0.2827,50400.0,56495.8904,1372600.0,1406054.2466,0.0699,2.0,-0.070656,1.5111,-35.7962,0.0,-35.7962,77.0298,0.0,-13.1633,-25.0,0.0399,0.0104,0.0075,720896.6985,751571.219,796000.0,7157711905.1,17335241411.91,796000.0,8.0,0.0,0.0,0.0,0.0,-3.4673,0.0,0.0,0.0,0.0,-1.7588,0.0,0.0,0.0,0.0,-1.2563,4.0,45.45,-0.1335,-0.2089,-0.2089,-0.2089,-0.1877,10.8,8.0,26.65
2018-06-27,SH600007,1.9769,0.7395,1.8699,0.7479,18.6327,0.7094,17.719,0.6923,1.1917,0.8723,1.6887,0.9405,4.4337,0.8403,4.1995,0.8403,0.7621,0.8014,76765.002,80724.257,322604.0,340595.1671,0.1061,2.0,-0.1061,0.2093,6.4111,2.1728,-6.7305,15.6356,1.4381,-15.92,16.61,0.0079,-0.0011,-0.0068,723517.7703,764913.1084,1430341.198,6671432697.0,11318044152.0,1430341.198,17.1627,0.1134,0.0754,0.0754,0.1134,-0.619,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,4.0,43.85,0.0528,-0.0519,-0.0266,-0.0519,-0.1114,10.8,3.0,30.05
2018-06-27,SH600008,1.5608,0.4706,1.6286,0.5882,26.875,0.6471,25.3239,0.6471,0.9354,0.4,1.2275,0.3529,1.7299,0.1765,1.7496,0.1765,0.16,0.1698,77129.826,88975.4451,1198230.0,1282324.0274,0.0581,2.0,-0.060387,0.2603,0.0,0.0,-5.8824,28.7309,0.0,-22.1288,29.04,0.0091,0.0128,-0.0047,1328113.6528,1377573.2692,2072864.073,17502842197.83,53098393196.65,2072864.073,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.2,-0.1963,0.0,-0.1373,0.0,-0.4064,8.1,1.0,26.1
2018-06-27,SH600009,3.5908,1.0,3.315,1.0,23.4832,1.0,22.1906,1.0,1.3451,0.3333,1.0148,0.0,11.3131,1.0,10.6034,1.0,2.3553,2.4925,453664.8762,480251.8416,941693.5556,1005027.3102,0.1529,1.0,-0.152909,0.2316,2.957,0.7806,9.3973,17.4587,2.4375,12.7705,16.8,0.0063,-0.0067,-0.0053,2966885.8952,3214712.1701,6048017.952,26539479017.81,28355642982.23,10658007.176,60.3286,0.1038,0.1125,0.0683,0.0333,0.1747,0.0904,0.0904,-0.1989,0.0,-0.1989,0.0,0.0,0.2712,0.0,0.3905,1.0,74.7,-0.0901,-0.0261,-0.1032,-0.0261,0.0332,5.4,15.0,54.3
2018-06-27,SH600010,1.3191,0.5938,1.2707,0.625,21.7143,0.75,19.0476,0.75,0.5286,0.5357,0.221,0.5714,0.3102,0.125,0.2957,0.0938,0.07,0.0798,319095.21,363556.2256,22340300.0,23429757.5342,0.0608,2.0,-0.06073,0.5481,-19.2368,0.0,-19.2368,41.0803,0.0,63.3333,316.15,0.019,0.0116,-0.0048,5252594.8592,5452669.4292,4814936.161,50165743786.52,146510661904.04,6928924.962,2.94,0.0,0.0,0.0,0.0,-1.0987,-1.3158,-1.3158,-1.3158,0.0,-1.3158,0.0,0.0,0.0,0.0,0.9211,4.0,39.1,-0.1555,0.0,-0.1555,0.0,-0.1518,10.8,1.0,27.3
2018-06-27,SH600011,1.1918,0.4762,1.1471,0.4762,23.1225,0.6909,18.4094,0.6545,0.2668,0.2391,,,0.5796,0.1111,0.5712,0.1111,0.2703,0.3395,410298.1942,514933.5256,16369231.7727,16597349.036,0.0515,1.0,-0.051157,1.2881,-14.2337,0.1264,-38.4382,86.6735,-11.5906,-53.5005,7.37,0.0278,0.0213,0.0118,7960570.9572,8265296.9148,6562500.0,94346425325.0,382591883382.0,9500239.65,7.2173,-0.488,-0.4688,-0.4656,0.0048,-3.1344,-1.12,-2.72,-2.72,0.0,-3.84,0.0,0.0,0.0,0.0,-2.096,1.0,61.8,0.241,0.0,0.1816,0.0334,0.0996,2.7,17.0,42.1
2018-06-27,SH600012,0.9231,0.3889,0.8675,0.3889,8.4348,0.3333,8.0912,0.2778,1.3118,0.4,0.9321,0.4286,3.1717,0.5,3.0329,0.5,0.69,0.7193,115260.0,119336.9315,306520.0,318477.6986,0.1094,4.0,-0.109451,0.0561,0.0,0.0,0.0,6.4299,0.0,21.3263,7.12,-0.007,-0.0044,-0.0099,1053181.3047,1113467.2225,678379.2,10307669645.8,14369664013.17,965311.02,14.5,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,4.0,34.05,-0.0658,0.0,-0.0884,0.0,-0.1634,10.8,3.0,20.25
2018-06-27,SH600015,0.5083,0.0,0.4811,0.0,4.636,0.0,4.506,0.0,0.916,0.84,1.2065,0.92,1.2786,0.0,1.2247,0.0,1.6113,1.6578,2065180.0,2124880.7123,7487740.0,7818150.2649,0.1096,1.0,-0.107755,0.042,-19.4717,0.0,0.5172,5.0614,0.1795,-6.5416,12.79,-0.0083,-0.0055,-0.0044,18835080.0,19901909.589,9578546.93,173726000000.0,2544080000000.0,9578546.93,11.314,0.0,0.0321,0.0321,0.0,-0.5221,0.0,0.0,0.0,0.0,-4.2838,0.0,-0.6693,-0.6693,0.0,-0.4016,1.0,43.25,-0.0999,0.0666,-0.0463,0.0666,-0.0904,10.8,5.0,27.45
2018-06-27,SH600016,0.6064,0.2,0.5644,0.2,4.9053,0.12,4.7008,0.08,0.8431,0.72,0.9152,0.68,1.687,0.12,1.6203,0.12,1.4046,1.4657,5220262.9284,5394623.264,15178762.5,15656838.8014,0.1236,1.0,-0.102517,0.048,-0.64,-0.0971,0.1351,5.8181,-0.631,-3.5373,5.2,-0.0078,-0.0069,-0.0052,42225862.9284,44945995.3222,20361169.078,395836000000.0,6002508000000.0,25138405.29,9.586,-0.0377,0.0334,-0.1771,-0.0377,-0.3687,0.0,0.3483,0.3483,0.0,0.2903,0.0,0.0,0.0,0.0,-2.4673,1.0,52.85,0.1305,0.0,-0.0687,0.0538,0.0019,10.8,10.0,32.05
2018-06-27,SH600017,0.8714,0.1176,0.846,0.1765,15.8,0.2353,15.062,0.2353,0.4382,0.0667,0.2726,0.0,1.914,0.3529,1.8568,0.3529,0.2,0.2098,62133.0,65132.1781,512904.5,528454.1411,0.0551,2.0,-0.0561,0.6844,1.3589,-0.5121,66.9703,36.0556,0.8653,183.4535,6.76,0.0204,0.002,0.0027,1126640.4259,1159940.0807,971906.629,12406419714.62,20474476131.06,971906.629,4.8,0.0,0.0,0.0,0.0,2.8481,0.0,0.0,0.0,0.0,,1.5823,1.5823,1.5823,1.5823,,4.0,41.65,-0.1678,0.0,-0.1204,-0.2775,-0.1889,10.8,3.0,27.85
2018-06-27,SH600018,1.6865,0.7647,1.5671,0.7647,12.1745,0.0588,11.6726,0.0588,4.6321,0.8667,0.9124,0.2,3.0291,0.5294,2.8643,0.5294,0.4838,0.5046,1123241.5882,1168017.0651,4514442.0588,4760218.3486,0.1385,1.0,-0.143041,-0.0263,2.1209,0.826,13.0153,2.6283,1.8732,14.2738,20.63,-0.0275,-0.0082,-0.0044,8108247.166,8700795.253,13649294.369,78744021739.14,142487308100.07,13649294.369,7.759,0.3243,0.3243,0.1375,0.0696,-0.4856,0.0,0.0,0.0,0.0,0.1698,0.0,0.0,0.0,0.0,-0.6791,1.0,45.7,-0.3309,0.0,-0.1926,-0.1161,-0.2121,10.8,4.0,30.9
2018-06-27,SH600019,0.9172,0.1875,0.8601,0.1875,7.4134,0.4063,7.0775,0.4063,0.4874,0.5,0.2212,0.6071,0.5751,0.5938,0.5706,0.5938,1.0427,1.0922,2319703.7059,2429328.1496,29904746.5,30133100.4625,0.1237,1.0,-0.122965,0.21,-1.1859,1.893,21.069,15.2089,0.4112,43.4678,3.44,0.0071,-0.0042,-0.0066,18748690.2754,19989567.4853,17084140.193,179820642743.62,353712128488.57,17213098.392,11.3047,0.2561,0.2613,0.0776,0.2639,-0.3389,0.0,0.0,-0.7503,0.0,-0.7503,0.0,0.0,0.0,0.0,0.3622,1.0,60.7,-0.2248,-0.0761,-0.2003,0.0,0.0743,10.8,8.0,41.9
2018-06-27,SH600020,0.5859,0.0,0.5666,0.0,8.3708,0.2778,8.3708,0.3889,,,3.7286,0.9286,1.6738,0.1111,1.6738,0.1111,0.4444,0.4444,99866.0425,99866.0425,499427.3689,499427.3689,0.07,3.0,-0.070289,-0.1486,-39.0689,0.0,-39.0689,-7.7265,0.0,-39.0689,-14.58,-0.0184,-0.0046,-0.004,1426780.4682,1475482.2643,836022.322,13598248825.83,54756128648.35,836022.322,11.844,0.0,0.0,0.0,0.0,-7.6774,,,,,,,,,,,4.0,35.25,-0.0637,0.0,-0.0637,0.0829,-0.2957,10.8,3.0,21.45
2018-06-27,SH600021,1.1675,0.4603,1.1164,0.4603,14.7566,0.4182,13.6933,0.3636,0.8952,0.6957,1.0754,0.6585,0.7432,0.1905,0.7217,0.1746,0.452,0.4871,108874.464,117186.9099,2161734.0,2223461.7178,0.0791,2.0,-0.073541,0.1732,22.115,-2.9605,-29.7937,16.4842,-6.1882,-60.3429,14.72,0.0063,0.0047,0.0021,1376063.7405,1437471.1305,570849.792,19425916674.07,83179163496.3,1607241.318,9.3792,-0.2054,-0.2054,0.1049,-0.2054,-0.045,0.0,0.0,-1.1994,0.0,-5.5472,0.0,0.0,0.0,0.0,1.1994,2.0,58.65,0.0712,0.0,0.0771,0.0,0.0209,10.8,20.0,27.85
2018-06-27,SH600022,1.0527,0.375,0.99,0.4375,8.08,0.4375,7.6342,0.4375,0.303,0.3929,0.0669,0.2143,0.3821,0.375,0.3539,0.3125,0.25,0.2646,270933.0,289381.1151,5729200.0,6238767.6712,0.1303,2.0,-0.130395,0.4078,2.4133,0.0,155.8264,26.6655,0.0,159.8815,19.61,0.0239,-0.001,-0.0069,2079517.111,2230091.4562,2159099.848,27456158610.75,58105759901.78,2211203.022,2.25,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9703,2.0,40.45,-0.1216,0.0,-0.0288,-0.1292,-0.1366,10.8,7.0,22.65
2018-06-27,SH600023,0.9407,0.2857,0.8959,0.2698,11.3563,0.1273,10.1171,0.1273,0.4414,0.4565,1.3729,0.7317,1.1262,0.3333,1.0963,0.3333,0.4033,0.4527,547051.0387,614417.2862,5516275.8462,5669803.2283,0.0828,1.0,-0.079648,0.2621,-1.7772,0.0,0.1619,25.7297,0.2333,-8.2831,7.76,0.0115,0.0112,0.007,6603790.3485,6937937.6505,6229116.015,69233129135.01,111856579382.35,6229116.015,6.74,0.0,-0.0175,-0.0153,0.0,-0.0371,-0.655,-0.655,-0.655,-0.655,-0.4367,0.0,0.0,0.0,0.0,0.0,1.0,51.8,-0.1699,0.0,-0.148,0.0,-0.0658,10.8,14.5,26.5
2018-06-27,SH600025,1.2982,0.4921,1.2572,0.4921,27.3636,0.8,25.1252,0.8182,11.6189,0.9783,0.9495,0.6098,4.0143,0.8413,3.8795,0.8413,0.11,0.1198,196194.0,212350.5479,1337380.0,1376437.589,0.0474,4.0,-0.046801,-0.1037,0.0,0.0,7.5454,2.3551,0.0,7.5454,4.1,-0.0081,0.0051,-0.0026,4135514.8238,4247349.5416,541800.0,41166399369.32,165230165677.48,5418000.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,3.0,50.2,-0.0889,0.0,0.1487,-0.1068,,10.8,14.5,24.9
2018-06-27,SH600026,0.5841,0.0,0.567,0.0,14.0731,0.0,11.4854,0.1,,,,,1.7028,0.3,1.6292,0.3,0.2956,0.3622,119612.868,146473.9064,988580.0,1032645.9726,0.0415,2.0,-0.031209,-0.3228,-12.7481,0.6952,-14.2128,-0.5509,0.6952,-15.2483,1.29,-0.0218,0.0157,0.0288,2881906.1332,2967098.9264,1138189.67,28242907529.56,59069968720.31,1677325.67,5.815,0.101,0.101,0.101,0.0433,-1.0673,0.0,0.0,0.0,0.0,0.2404,0.0,0.0,0.0,0.0,-1.6827,2.0,45.25,0.1023,0.0,-0.0174,0.0,-0.0543,10.8,3.0,31.45
2018-06-27,SH600027,0.8824,0.2063,0.8523,0.1746,18.6635,0.6,14.9237,0.4727,0.1098,0.1304,0.9288,0.5854,0.4638,0.0476,0.4601,0.0476,0.2095,0.262,207242.983,259089.5214,8339579.8235,8403359.2172,0.0473,1.0,-0.047371,3.8182,9.009,1.3801,-12.6112,169.9978,5.0923,-42.375,5.56,0.037,0.0195,0.0095,4383543.683,4536456.6624,2652780.822,56303758000.0,216098916000.0,3856423.871,4.92,0.0639,-0.087,0.2302,0.0639,4.0793,0.0,0.0,0.9463,0.0,2.4808,0.0,0.4348,0.4348,0.0,0.6905,1.0,66.15,0.1183,0.0,0.2016,0.0,0.2907,8.1,17.0,41.05
2018-06-27,SH600028,0.9519,0.2353,0.9048,0.2353,10.1337,0.125,9.5811,0.125,0.3583,0.6364,0.3438,0.5,0.2757,0.1765,0.2653,0.1765,0.6207,0.6565,7537669.1538,7964224.1524,277030062.9091,287626384.9096,0.0939,1.0,-0.09367,0.4745,-0.705,-1.0839,10.8803,28.2825,0.7527,2.5103,17.38,0.0236,0.001,0.0004,80240569.1538,84343028.5616,60105837.988,877316000000.0,1572527000000.0,76153790.867,7.7924,-0.1797,0.0779,0.1335,-0.124,-0.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4769,0.0,0.4769,1.0,57.7,0.0434,0.0285,0.2277,-0.0286,-0.1012,10.8,7.0,39.9
2018-06-27,SH600029,1.4667,0.4286,1.3343,0.4286,10.8143,0.0,8.7109,0.0,0.2622,0.0,0.2578,0.0,0.5715,0.0,0.5327,0.0,0.7823,0.9712,789655.1767,979886.5974,14941483.2308,16024706.376,0.1356,1.0,-0.148214,0.3352,-8.2139,-1.301,-7.1628,41.2381,-5.0041,12.5078,17.2,0.0164,0.0329,0.0292,5822355.1767,6397678.711,5941161.9,65835000000.0,220025000000.0,8534594.588,14.575,-0.4574,-0.4184,-0.5307,-0.1206,-1.4504,0.0,0.0,-0.591,0.0,-2.6005,-0.26,-0.26,-0.26,-0.26,-0.26,1.0,48.65,-0.159,-0.0932,-0.2369,0.0,-0.1305,10.8,3.0,34.85
2018-06-27,SH600030,1.2003,0.5135,1.1489,0.5135,14.9949,0.2703,13.977,0.2703,1.0571,0.3333,1.0708,0.2857,4.0475,0.2162,3.8107,0.2162,1.0697,1.1476,1296748.2463,1391329.2735,4804106.1739,5103136.5265,0.08,1.0,-0.075322,0.1342,-0.0389,-0.164,2.064,14.185,-0.4671,-11.7393,10.97,0.0037,0.0043,0.0044,16200134.0904,16927101.9336,15742717.367,155159084217.21,659668835075.68,19435521.074,24.8621,-0.0305,-0.0281,-0.0305,-0.0118,0.0418,0.0,0.0,0.0,0.0,-0.3117,0.0,0.0,0.0,0.0,-0.0623,1.0,67.5,-0.0302,0.0748,0.0613,-0.0728,-0.0829,10.8,12.0,44.7
2018-06-27,SH600031,2.2494,0.526,2.0591,0.4935,15.6079,0.1776,13.509,0.1711,0.2378,0.2481,0.1212,0.1102,1.3658,0.2403,1.2752,0.2468,0.5651,0.6529,435104.0568,502872.212,4972382.9286,5327122.0633,0.1441,1.0,-0.155458,1.0796,24.7748,1.5956,20.9806,65.6434,5.6795,26.9573,29.71,0.062,0.0157,-0.0004,3019105.7568,3299061.6438,6763498.046,28266627000.0,63816328000.0,6797458.651,11.2363,0.1417,0.1179,0.3277,0.0998,1.3798,0.0,0.0,0.0,0.0,1.4739,0.0,0.0,0.0,0.0,0.3401,1.0,61.9,0.1836,-0.0252,-0.0373,0.0879,-0.0937,10.8,12.0,39.1
2018-06-27,SH600033,0.8784,0.3333,0.8443,0.3333,11.3534,0.5556,11.107,0.6111,1.4869,0.5333,1.8919,0.7143,3.2819,0.5556,3.2488,0.5556,0.266,0.2719,72873.44,74409.1752,252100.0,254440.8219,0.0774,2.0,-0.077307,0.1105,-1.6826,0.0,-5.1661,7.6354,0.0,-11.3091,1.89,0.0019,-0.0027,-0.0052,941936.1685,979010.1841,828808.8,10788522473.17,17818366301.75,828808.8,4.1864,0.0,-0.0596,0.1987,0.0,-0.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6623,2.0,37.65,0.201,0.0,0.201,0.0773,-0.2308,10.8,3.0,23.85
2018-06-27,SH600035,0.7906,0.2778,0.753,0.2778,8.2162,0.2222,7.9043,0.2222,0.844,0.3333,0.4465,0.2143,1.8077,0.1667,1.7436,0.1667,0.37,0.3846,64026.0,66610.1699,291000.0,301933.589,0.0962,4.0,-0.096371,0.1121,0.0,0.0,0.0,9.7352,0.0,-1.082,8.24,0.0004,-0.0018,-0.0082,665372.4444,699180.2526,453384.102,6194125798.91,10757608565.15,526161.961,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.05,0.0165,0.0,0.0165,0.0,-0.2538,10.8,6.0,20.25
